"2471";"NIU";"Northern Illinois";"Huskies";"#01542C";"#01542C";"0";NULL;NULL;"NorthernIllinois.gif";"Mid-American";;"niu";"ACTIVE"
"207";"OHIO";"Ohio";"Bobcats";"#3C6747";"#3C6747";"0";NULL;NULL;"Ohio.gif";"Mid-American";;"ohio";"ACTIVE"
"230";"TEM";"Temple";"Owls";"#D3001F";"#CEC9CF";"0";NULL;NULL;"Temple.gif";"Mid-American";;"tem";"ACTIVE"
"2661";"TOL";"Toledo";"Rockets";"#00009C";"#FFCC33";"0";NULL;NULL;"Toledo.gif";"Mid-American";;"tol";"ACTIVE"
"2723";"WMU";"Western Michigan";"Broncos";"#C4A769";"#643918";"0";NULL;NULL;"WesternMichigan.gif";"Mid-American";;"wmu";"ACTIVE"
"2017";"AFA";"Air Force";"Falcons";"#0000CC";"#C1C2C0";"0";NULL;NULL;"AirForce.gif";"Mountain West";;"afa";"ACTIVE"
"264";"BYU";"Brigham Young";"Cougars";"#022652";"#ffffff";"0";NULL;NULL;"BrighamYoung.gif";"Mountain West";;"byu";"ACTIVE"
"48";"CSU";"Colorado State";"Rams";"#006633";"#D0C561";"0";NULL;NULL;"ColoradoState.gif";"Mountain West";;"csu";"ACTIVE"
"179";"NM";"New Mexico";"Lobos";"#CC3333";"#CECECE";"0";NULL;NULL;"NewMexico.gif";"Mountain West";;"nm";"ACTIVE"
"45";"SDSU";"San Diego State";"Aztecs";"#B41818";"#000000";"0";NULL;NULL;"SanDiegoState.gif";"Mountain West";;"sdsu";"ACTIVE"
"2640";"TCU";"TCU";"Horned Frogs";"#B41818";"#000000";"0";NULL;NULL;"TCU.gif";"Mountain West";;"tcu";"ACTIVE"
"2451";"UNLV";"UNLV";"Rebels";"#CC0000";"#660000";"0";NULL;NULL;"UNLV.gif";"Mountain West";;"unlv";"ACTIVE"
"266";"UTAH";"Utah";"Utes";"#CC0000";"#000000";"0";NULL;NULL;"Utah.gif";"Mountain West";;"utah";"ACTIVE"
"2763";"WYO";"Wyoming";"Cowboys";"#3C271F";"#A0965A";"0";NULL;NULL;"Wyoming.gif";"Mountain West";;"wyo";"ACTIVE"
"46";"ARIZ";"Arizona";"Wildcats";"#002868";"#C41E3A";"0";NULL;NULL;"Arizona.gif";"Pacific-10";;"ariz";"ACTIVE"
"9";"ASU";"Arizona State";"Sun Devils";"#82022C";"#FEC900";"0";NULL;NULL;"ArizonaState.gif";"Pacific-10";;"asu";"ACTIVE"
"37";"CAL";"California";"Golden Bears";"#0A1F62";"#FFCC00";"0";NULL;NULL;"California.gif";"Pacific-10";;"cal";"ACTIVE"
"2495";"ORE";"Oregon";"Ducks";"#003300";"#003300";"0";NULL;NULL;"Oregon.gif";"Pacific-10";;"ore";"ACTIVE"
"216";"ORST";"Oregon State";"Beavers";"#FF6600";"#FF6600";"0";NULL;NULL;"OregonState.gif";"Pacific-10";;"orst";"ACTIVE"
"36";"STAN";"Stanford";"Cardinal";"#7F001A";"#00731B";"0";NULL;NULL;"Stanford.gif";"Pacific-10";;"stan";"ACTIVE"
"38";"UCLA";"UCLA";"Bruins";"#003399";"#F1CA02";"0";NULL;NULL;"UCLA.gif";"Pacific-10";;"ucla";"ACTIVE"
"42";"USC";"USC";"Trojans";"#990000";"#990000";"0";NULL;NULL;"USC.gif";"Pacific-10";;"usc";"ACTIVE"
"276";"WASH";"Washington";"Huskies";"#330066";"#8C71A7";"0";NULL;NULL;"Washington.gif";"Pacific-10";;"wash";"ACTIVE"
"277";"WAST";"Washington State";"Cougars";"#990000";"#000000";"0";NULL;NULL;"WashingtonState.gif";"Pacific-10";;"wast";"ACTIVE"
"17";"ALAB";"Alabama";"Crimson Tide";"#990032";"#939698";"0";NULL;NULL;"Alabama.gif";"SEC";;"alab";"ACTIVE"
"8";"ARK";"Arkansas";"Razorbacks";"#990000";"#CCCC99";"0";NULL;NULL;"Arkansas.gif";"SEC";;"ark";"ACTIVE"
"2";"AUB";"Auburn";"Tigers";"#FE5919";"#17257E";"0";NULL;NULL;"Auburn.gif";"SEC";;"aub";"ACTIVE"
"69";"FLA";"Florida";"Gators";"#003399";"#FF3300";"0";NULL;NULL;"Florida.gif";"SEC";;"fla";"ACTIVE"
"15";"UGA";"Georgia";"Bulldogs";"#DE0018";"#000000";"0";NULL;NULL;"Georgia.gif";"SEC";;"geo";"ACTIVE"
"108";"KTY";"Kentucky";"Wildcats";"#003399";"#B5B59F";"0";NULL;NULL;"Kentucky.gif";"SEC";;"kty";"ACTIVE"
