"2214";"1";"10";"H47";"1st & 10 at GT47: LONG, Malcolm pass complete to CHRISTIE, Richa for 2 yards to the GT45 (Egbuniwe, A.;Walls, L.).";"2";"95";"60";"4,7,60";"V";"P";"ACTIVE";
"2215";"2";"8";"H45";"2nd & 8 at GT45: JORDON,Asheton rush for 17 yards to the GT28, 1ST DOWN SCST (Taylor, C.;Johnson, I.).";"2";"95";"61";"4,8,61";"V";"R";"ACTIVE";
"2216";"1";"10";"H28";"1st & 10 at GT28: LONG, Malcolm pass incomplete to ELMORE,Lennel.";"2";"95";"62";"4,9,62";"V";"P";"ACTIVE";
"2217";"2";"10";"H28";"2nd & 10 at GT28: MASSEY,Chris rush for 2 yards to the GT26 (Egbuniwe, A.;Jackson, K.).";"2";"95";"63";"4,10,63";"V";"R";"ACTIVE";
"2218";"3";"8";"H26";"3rd & 8 at GT26: LONG, Malcolm pass incomplete to MCDONALD, Tyler.";"2";"95";"64";"4,11,64";"V";"P";"ACTIVE";
"2219";"4";"8";"H26";"4th & 8 at GT26: ERICKSON,Blake field goal attempt from 42 MISSED - wide right, spot at GT26, clock 09:46.";"2";"95";"65";"4,12,65";"V";"F";"ACTIVE";
"2220";"1";"10";"H26";"1st & 10 at GT26: GEORGIA TECH drive start at 09:46.";"2";"95";"66";"5,1,66";"H";;"ACTIVE";
"2221";"1";"10";"H26";"1st & 10 at GT26: Nesbitt, J. pass complete to Hill, S. for 8 yards to the GT34 (KING, Yari;THOMPSON,Chris).";"2";"95";"67";"5,2,67";"H";"P";"ACTIVE";
"2222";"2";"2";"H34";"2nd & 2 at GT34: Bostic, B.J. rush for 8 yards to the GT42, 1ST DOWN GT (MCFADDEN, Marsh).";"2";"95";"68";"5,3,68";"H";"R";"ACTIVE";
"2223";"1";"10";"H42";"1st & 10 at GT42: Jones, R. rush for 22 yards to the SCST36, 1ST DOWN GT (LONG, Malcolm;WILKERSON,Juliu), PENALTY SCST face mask (KING, Yari) 15 yards to the SCST21, 1ST DOWN GT.";"2";"95";"69";"5,4,69";"H";"R";"ACTIVE";
"2224";"1";"10";"V21";"1st & 10 at SCST21: 1st and 10.";"2";"95";"70";"5,5,70";"H";;"ACTIVE";
"2225";"1";"10";"V21";"1st & 10 at SCST21: Lyons, P. rush for 3 yards to the SCST18 (COUNCIL,Joe;MCFADDEN, Marsh).";"2";"95";"71";"5,6,71";"H";"R";"ACTIVE";
"2226";"2";"7";"V18";"2nd & 7 at SCST18: Nesbitt, J. rush for 7 yards to the SCST11, 1ST DOWN GT (ERBY, David).";"2";"95";"72";"5,7,72";"H";"R";"ACTIVE";
